# Size    Perc
0.00000 0.00000
1.00000 0.00000
2.00000 0.00000
3.00000 0.30769
4.00000 0.28846
5.00000 0.17308
6.00000 0.05769
7.00000 0.09615
8.00000 0.05769
9.00000 0.01923
10.00000 0.00000
11.00000 0.00000
12.00000 0.00000
13.00000 0.00000
14.00000 0.00000
15.00000 0.00000
16.00000 0.00000
17.00000 0.00000
18.00000 0.00000
19.00000 0.00000
