# Size    Perc
0.00000 0.00000
1.00000 0.00000
2.00000 0.00000
3.00000 0.39394
4.00000 0.19697
5.00000 0.13636
6.00000 0.07576
7.00000 0.07576
8.00000 0.04545
9.00000 0.03030
10.00000 0.00000
11.00000 0.04545
12.00000 0.00000
13.00000 0.00000
14.00000 0.00000
15.00000 0.00000
16.00000 0.00000
17.00000 0.00000
18.00000 0.00000
19.00000 0.00000
